Id Arbeidssted;Forvalt.location.coordinates.XCoordinate;Forvalt.location.coordinates.YCoordinate;ArbeidsstedOgTariffavtale.ID Tariffavtale
50268661;6,06918763;62,14508638;50268661 213100 - Virke Bok og Papiravtalen
50266216;10,68849325;60,79485582;50266216 210100 - Virke Landsoverenskomsten
50010276;5,17212168;59,79433893;50010276 215100 - Virke Reiselivsbransjen
50250296;7,22320328;61,19489759;50250296 210100 - Virke Landsoverenskomsten
50320341;10,78481747;60,98167559;50320341 210100 - Virke Landsoverenskomsten
50320418;5,3248305;60,39254053;50320418 210100 - Virke Landsoverenskomsten
50317499;10,7157243;59,92866055;50317499 210100 - Virke Landsoverenskomsten
50319286;29,98481181;69,6666982;50319286 210100 - Virke Landsoverenskomsten
50324378;10,06116391;59,07841596;50324378 210100 - Virke Landsoverenskomsten
50323667;18,92883026;69,67612176;50323667 210100 - Virke Landsoverenskomsten
50324720;5,74295399;58,85018878;50324720 210100 - Virke Landsoverenskomsten
50322229;10,91124796;63,44783053;50322229 210100 - Virke Landsoverenskomsten
50321611;10,79355386;59,72109964;50321611 210100 - Virke Landsoverenskomsten
50322629;11,05290921;60,83814817;50322629 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
50322883;14,66096693;68,16690003;50322883 210100 - Virke Landsoverenskomsten
50311640;12,26125241;61,31541416;50311640 210100 - Virke Landsoverenskomsten
50311797;10,99203027;59,25453051;50311797 210100 - Virke Landsoverenskomsten
50315202;5,83869866;61,45778024;50315202 210100 - Virke Landsoverenskomsten
50316422;5,58515044;62,25812539;50316422 210100 - Virke Landsoverenskomsten
50316452;9,323120685;63,09776934;50316452 210100 - Virke Landsoverenskomsten
50316419;6,267232413;62,35992884;50316419 210100 - Virke Landsoverenskomsten
50313943;11,49707952;64,00842795;50313943 210100 - Virke Landsoverenskomsten
50313492;10,74186474;59,91357878;50313492 210200 - PU Virke Landsoverenskomsten
50347675;10,72973035;59,91390681;50347675 210100 - Virke Landsoverenskomsten
50350839;10,72973035;59,91390681;50350839 210100 - Virke Landsoverenskomsten
60000544;10,72631093;59,92267526;60000544 210200 - PU Virke Landsoverenskomsten
50319312;10,72631093;59,92267526;50319312 210200 - PU Virke Landsoverenskomsten
50309521;11,05135642;59,95542726;50309521 210100 - Virke Landsoverenskomsten
50314453;5,63503851;58,99939825;50314453 210100 - Virke Landsoverenskomsten
50007573;30,04115315;69,72754211;50007573 210100 - Virke Landsoverenskomsten
50345245;9,65184149;59,13933926;50345245 210100 - Virke Landsoverenskomsten
50271513;10,99831776;59,97778169;50271513 210100 - Virke Landsoverenskomsten
50260341;9,083979;63,29343168;50260341 210100 - Virke Landsoverenskomsten
50314698;10,77627834;62,27551082;50314698 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
50254320;6,5440645;60,06949553;50254320 210100 - Virke Landsoverenskomsten
50029121;5,11467959;61,93628621;50029121 215100 - Virke Reiselivsbransjen
50304920;9,53980091;61,77108219;50304920 210100 - Virke Landsoverenskomsten
50342328;5,85240273;61,45204129;50342328 210100 - Virke Landsoverenskomsten
50317404;5,01813449;60,80047244;50317404 210200 - PU Virke Landsoverenskomsten
60002662;10,74287307;59,91440087;60002662 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
50300817;5,35422888;60,31746345;50300817 210100 - Virke Landsoverenskomsten
50273056;10,46484156;59,422868;50273056 130100 - NHO/NHO Service og Handel Handelsoverenskomsten
50273323;5,36834413;60,3612987;50273323 210200 - PU Virke Landsoverenskomsten
60005362;14,76191232;67,52003897;60005362 210100 - Virke Landsoverenskomsten
50354942;5,64111488;58,66814826;50354942 210100 - Virke Landsoverenskomsten
50352779;5,6052194;58,80578784;50352779 210100 - Virke Landsoverenskomsten
50352846;6,07818028;58,63184553;50352846 210100 - Virke Landsoverenskomsten
